station_id,station_name,latitude,longitude,city_id,city_name
GHCND:USW00093874,"GULFPORT BILOXI AIRPORT, MS US",30.4119,-89.0808,CITY:US280009,"Gulfport, MS US"
GHCND:USW00013833,"HATTIESBURG CHAIN MUNICIPAL AIRPORT, MS US",31.28194,-89.25306,CITY:US280010,"Hattiesburg, MS US"
GHCND:USW00013956,"JACKSON 4 NW, MS US",32.33333,-90.23333,CITY:US280011,"Jackson, MS US"
GHCND:USC00229735,"WINDHAM, MS US",31.7,-89.18333,CITY:US280012,"Laurel, MS US"
GHCND:USW00093919,"MCCOMB PIKE COUNTY JOHN E LEWIS FIELD AIRPORT, MS US",31.1827,-90.4708,CITY:US280013,"McComb, MS US"
GHCND:USW00013865,"MERIDIAN KEY FIELD, MS US",32.3347,-88.7442,CITY:US280014,"Meridian, MS US"
GHCND:USC00229384,"WASHINGTON, MS US",31.58333,-91.28333,CITY:US280015,"Natchez, MS US"
GHCND:USC00229400,"WATER VALLEY, MS US",34.1583,-89.6311,CITY:US280016,"Oxford, MS US"
GHCND:USW00053865,"SLIDELL AIRPORT, LA US",30.34333,-89.82222,CITY:US280017,"Picayune, MS US"
GHCND:USW00093862,"TUPELO REGIONAL AIRPORT, MS US",34.2622,-88.7713,CITY:US280018,"Tupelo, MS US"
GHCND:USW00093999,"VICKSBURG, MS US",32.23333,-90.93333,CITY:US280019,"Vicksburg, MS US"
GHCND:USC00229860,"YAZOO CITY 5 NNE, MS US",32.9027,-90.3816,CITY:US280020,"Yazoo City, MS US"
GHCND:USW00003935,"CAPE GIRARDEAU MUNICIPAL AIRPORT, MO US",37.2252,-89.5705,CITY:US290001,"Cape Girardeau, MO US"
GHCND:USW00093958,"COLUMBIA, MO US",38.95,-92.33333,CITY:US290002,"Columbia, MO US"
GHCND:USC00237114,"RICHMOND 4 N, MO US",39.3328,-93.9799,CITY:US290003,"Excelsior Springs, MO US"
GHCND:USW00093996,"FARMINGTON REGIONAL AIRPORT, MO US",37.76083,-90.42833,CITY:US290004,"Farmington, MO US"
GHCND:USW00003938,"WAYNESVILLE REGIONAL AIRPORT FORNEY FIELD, MO US",37.75,-92.15,CITY:US290005,"Fort Leonard Wood, MO US"
GHCND:USW00003963,"JEFFERSON CITY MEMORIAL AIRPORT, MO US",38.59111,-92.15583,CITY:US290006,"Jefferson City, MO US"
GHCND:USW00013987,"JOPLIN REGIONAL AIRPORT, MO US",37.15221,-94.49527,CITY:US290007,"Joplin, MO US"
GHCND:USW00093972,"KANSAS CITY, MO US",39.1,-94.58333,CITY:US290008,"Kansas City, MO US"
GHCND:USC00234417,"KENNETT RADIO KBOA, MO US",36.2252,-90.0749,CITY:US290009,"Kennett, MO US"
GHCND:USW00014938,"KIRKSVILLE REGIONAL AIRPORT, MO US",40.09722,-92.54333,CITY:US290010,"Kirksville, MO US"
GHCND:USC00236669,"PHILLIPSBURG, MO US",37.533333,-92.816667,CITY:US290011,"Lebanon, MO US"
GHCND:USW00013991,"MARSHALL, MO US",39.1341,-93.2225,CITY:US290012,"Marshall, MO US"
GHCND:USC00237813,"SKIDMORE, MO US",40.28667,-95.08278,CITY:US290013,"Maryville, MO US"
GHCND:USC00235671,"MOBERLY, MO US",39.4194,-92.4369,CITY:US290014,"Moberly, MO US"
